"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AITS","0i",0,3,NA,NA,NA,NA,NA,NA
"ALMONT","Clg",48,66,"2.5Y","5","2","2.5Y","4","2"
"ANDYS","A",0,20,NA,NA,NA,"l0YR","5","3"
"ANGLEN","0e",0,3,NA,NA,NA,"10YR","3","3"
"ANGOSTURA","0i",0,5,NA,NA,NA,NA,NA,NA
"APEX","0i",0,3,NA,NA,NA,NA,NA,NA
"ASHCROFT","0i1",0,3,NA,NA,NA,NA,NA,NA
"ASHCROFT","0i2",3,5,NA,NA,NA,NA,NA,NA
"ASHLEY","C1",76,91,NA,NA,NA,"l0YR","5","6"
"ASHLEY","A3",NA,76,NA,NA,NA,"7.5YR","6","2"
"AUGGIE","0i",0,5,NA,NA,NA,NA,NA,NA
"BADWATER","Btl",15,61,"10YR","4","3","10YR","3","2"
"BARNELLCREEK","01",0,3,NA,NA,NA,NA,NA,NA
"BEESKOVE","0",0,5,NA,NA,NA,NA,NA,NA
"BOBTAIL","02",3,0,NA,NA,NA,NA,NA,NA
"BOBTAIL","01",5,3,NA,NA,NA,NA,NA,NA
"BOSSBURG","30a2",137,173,"2.5Y","6","2","2.5Y","4","2"
"BUCKHOUSE","0i",0,8,NA,NA,NA,NA,NA,NA
"BUTTECREEK","Oe",5,0,NA,NA,NA,NA,NA,NA
"CAMBARGE","Clca",36,53,"2.5Y","8","2","2.5Y","6","2"
"CARIBOURIDGE","0i",0,3,NA,NA,NA,NA,NA,NA
"CARIBOURIDGE","0e",3,5,NA,NA,NA,NA,NA,NA
"CASTELLO","Clca",23,84,NA,NA,NA,"7.5YR","8","2"
"CATAMOUNT","0i",0,3,NA,NA,NA,NA,NA,NA
"CHICKAMAN","0i",0,5,NA,NA,NA,NA,NA,NA
"COEROCK","0i",0,3,NA,NA,NA,NA,NA,NA
"COLDCREEK","0i",0,3,NA,NA,NA,NA,NA,NA
"CORA","Alg",0,30,NA,NA,NA,NA,NA,NA
"CORA","Ae",8,0,NA,NA,NA,NA,NA,NA
"CRACKERCREEK","2Btbl",41,53,"10YR","5","4","10YR","3","3"
"CUNDIYO","El",0,15,"l0YR","6","3","l0YR","4","2"
"CUNDIYO","E2",15,86,"l0YR","6","3","l0YR","4","2"
"CUNDIYO","Bt2",86,117,"l0YR","6","4","l0YR","5","4"
"CUNDIYO","C",117,152,"l0YR","6","4","l0YR","5","4"
"CUNDIYO","Oi",NA,0,NA,NA,NA,NA,NA,NA
"CUNDIYO","Btl",NA,86,"l0YR","7","3","l0YR","4","3"
"DARLING","02",3,0,NA,NA,NA,NA,NA,NA
"DARLING","01",10,3,NA,NA,NA,NA,NA,NA
"DELETE MEII","0i",0,3,NA,NA,NA,NA,NA,NA
"DELETE MEII","0e",3,4,NA,NA,NA,NA,NA,NA
"DREXEL","0i",0,3,NA,NA,NA,NA,NA,NA
"DRYADINE","0i",0,1,NA,NA,NA,NA,NA,NA
"DRYADINE","0e",1,4,NA,NA,NA,NA,NA,NA
"ELKNER","0i",0,5,NA,NA,NA,NA,NA,NA
"EMBLEM","2Bkl",51,76,"10YR","6","3","10YR","4","4"
"FELTNER","Cca",30,41,"l0YR","6","4","10YR","5","4"
"FERN CLIFF","02",5,0,NA,NA,NA,NA,NA,NA
"FERN CLIFF","O1",10,5,NA,NA,NA,NA,NA,NA
"FLANNERY","Oi",4,3,NA,NA,NA,NA,NA,NA
"FLATSTONE","0i",0,3,NA,NA,NA,NA,NA,NA
"FORDCREEK","Btl",15,41,"10YR","6","3","10YR","3","4"
"FORDCREEK","Cr",104,NA,NA,NA,NA,NA,NA,NA
"FORDCREEK","Al",NA,8,"10YR","5","3","10YR","3","3"
"FOURLOG","01",0,3,NA,NA,NA,NA,NA,NA
"FOXTON","Btl",20,41,"5YR","5","4","5YR","4","4"
"GAPPMAYER","O1",5,0,NA,NA,NA,NA,NA,NA
"GAPPMAYER","Clca",160,183,NA,NA,NA,"10YR","6","3"
"GAPPMAYER","A21",NA,1554,NA,NA,NA,"10YR","6","3"
"GOLD CREEK","O1",5,0,NA,NA,NA,NA,NA,NA
"GORING","All",0,8,"10YR","4","3","10YR","3","3"
"GORING","Bl",18,33,"7.5YR","4","3","7.5YR","3","3"
"GRANATH","Btkl",102,124,"5YR","4","4","5YR","4","4"
"GRENADIER","0i",0,8,NA,NA,NA,NA,NA,NA
"GRENADIER","0e",8,10,NA,NA,NA,NA,NA,NA
"GUILDER","01",3,13,NA,NA,NA,NA,NA,NA
"GUILDER","B2lt",30,56,"2.5YR","4","6","2.5YR","3","6"
"GUILDER","Al",NA,13,NA,NA,NA,"5YR","3","3"
"HAGSTADT","0i",0,3,NA,NA,NA,NA,NA,NA
"HARKERS","Al",0,36,"10YR","3","2","10YR","2","2"
"HARKERS","Bl",36,48,"10YR","5","2","10YR","3","2"
"HARKERS","Clca",147,203,"10YR","6","4","7.5YR","5","4"
"HAUGAN","0i",0,1,NA,NA,NA,NA,NA,NA
"HENRYSLAKE","Btl",8,25,"10YR","5","2","10YR","3","2"
"HIERRO","0i1",0,3,NA,NA,NA,NA,NA,NA
"HIERRO","0e2",3,5,NA,NA,NA,NA,NA,NA
"HIGHHORN","0i",0,8,NA,NA,NA,NA,NA,NA
"HIVAL","Al",0,13,"7.5YR","4","4","7.5YR","3","4"
"HOOTER","0e",5,0,NA,NA,NA,NA,NA,NA
"HOOTER","0i",8,5,NA,NA,NA,NA,NA,NA
"HOSKIN","Al",0,18,"7.5YR","4","3","7.5YR","3","2"
"HUCKLE","Bwl",10,20,"10YR","5","4","10YR","3","4"
"HUN","0i",0,4,NA,NA,NA,NA,NA,NA
"HUN","0e",4,5,"10YR","7","1",NA,NA,NA
"HUNTROCK","0i",0,3,NA,NA,NA,NA,NA,NA
"INDART","0i",0,8,NA,NA,NA,NA,NA,NA
"INDART","0e",8,10,NA,NA,NA,NA,NA,NA
"JENKINS","02",3,0,NA,NA,NA,NA,NA,NA
"JENKINS","01",5,8,NA,NA,NA,NA,NA,NA
"JERU","0i",0,1,NA,NA,NA,NA,NA,NA
"JERU","0e",1,5,"10YR","7","1",NA,NA,NA
"JIMLAKE","0i",0,5,NA,NA,NA,NA,NA,NA
"JUMPSTART","0i",0,3,NA,NA,NA,NA,NA,NA
"KEBLER","02",3,5,NA,NA,NA,NA,NA,NA
"KEBLER","01",5,3,NA,NA,NA,NA,NA,NA
